filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	decade
c701f2a6161186f30850d1d488976504.jpg	186	94	75.1285	155	73.7474	42	65.5298	1960
c7dd1eaf8bdaa8bc2a0da910171a1ab6.jpg	187	249	62.4407	15	71.2949	19	43.9354	1960
c84ac62494e4484043f59ceb81f4109f.jpg	188	223	70.4725	117	77.8968	26	35.5526	1960
c87bff8fabe2ca18265feeabbdd17b9f.jpg	189	147	53.8769	95	55.3094	21	41.9813	1960
cb1ba4575a039695019b57b3c3235c41.jpg	190	219	59.8428	25	41.6751	21	91.0073	1960
cc7cc17f776a1c6f6e9e6258cf4ea8f6.jpg	191	86	54.9094	241	76.2108	16	37.4521	1960
cf0c327eb8c6591278b58f469bd8251d.jpg	192	170	37.1302	95	23.23	33	14.5637	1960
cf704d499b3b516dfe772fbf5f9198a0.jpg	193	182	66.4307	151	88.8546	18	44.0374	1960
content-1 copy.jpg	194	150	76.9947	102	73.94	36	57.6055	1950
content-1.jpg	195	160	80.4331	112	61.8443	29	74.9378	1950
content-10.jpg	196	170	68.9577	134	71.4157	17	44.047	1950
content-11.jpg	197	177	65.9232	107	58.9894	32	36.029	1950
content-12.jpg	198	218	46.99	76	62.2963	29	40.4593	1950
content-13.jpg	199	131	88.1978	155	72.3712	13	66.6617	1950
content-14.jpg	200	152	85.8626	103	70.076	21	68.7965	1950
content-15.jpg	201	178	68.2635	58	58.9872	22	72.4684	1950
content-16.jpg	202	168	96.78	27	78.7799	99	69.6622	1950
content-17.jpg	203	180	63.8688	71	57.8518	151	72.4462	1950
content-18.jpg	204	186	61.6498	79	80.1296	32	34.7015	1950
content-19.jpg	205	184	60.564	100	67.2561	34	50.0364	1950
content-2.jpg	206	126	91.2753	120	84.7963	27	69.1187	1950
content-20.jpg	207	99	90.76	147	75.1961	19	83.7891	1950
content-21.jpg	208	168	81.624	99	71.5968	28	88.3539	1950
content-22.jpg	209	155	77.0587	176	79.8527	11	78.7901	1950
content-23.jpg	210	129	92.3461	50	86.1479	24	74.1096	1950
content-24.jpg	211	118	88.1949	56	83.0724	26	76.337	1950
content-25.jpg	212	133	70.6482	146	66.7906	24	52.2073	1950
content-26.jpg	213	171	70.4611	126	71.3334	13	45.4684	1950
content-27.jpg	214	116	83.8048	91	86.6148	85	77.6213	1950
content-28.jpg	215	198	46.6998	30	50.1774	35	38.4387	1950
content-29.jpg	216	129	78.1557	123	76.9672	23	59.6423	1950
content-3.jpg	217	45	90.1745	137	81.8156	10	93.139	1950
content-30.jpg	218	87	82.827	118	80.4347	18	71.9812	1950
content-31.jpg	219	156	65.1858	65	63.3633	148	60.8235	1950
content-32.jpg	220	119	79.7876	108	92.0798	23	66.2402	1950
content-33.jpg	221	114	92.4148	97	93.3716	16	55.7138	1950
content-34.jpg	222	139	60.6173	62	86.9503	123	66.2364	1950
content-35.jpg	223	145	81.1375	108	67.6218	29	63.2484	1950
content-36.jpg	224	185	69.0483	53	72.8551	17	75.508	1950
content-37.jpg	225	192	72.3064	14	74.0949	51	73.1186	1950
content-38.jpg	226	197	60.0546	55	68.3974	147	68.5546	1950
content-39.jpg	227	173	93.1466	85	68.7616	24	51.0517	1950
content-4.jpg	228	130	70.3871	97	68.1425	19	91.7543	1950
content-40.jpg	229	247	35.5441	29	52.5239	9	92.4918	1950
content-41.jpg	230	8	99.8638	12	88.0072	12	76.4025	1950
content-42.jpg	231	36	73.7156	60	70.5844	143	102.627	1950
content-43.jpg	232	7	91.2737	17	87.8468	8	67.9541	1950
content-44.jpg	233	102	87.3733	12	84.4354	106	58.8282	1950
content-45.jpg	234	165	71.6428	62	66.5139	26	44.1384	1950
content-46.jpg	235	129	61.4633	91	55.5041	148	73.7283	1950
content-47.jpg	236	137	91.8904	123	70.2282	22	62.0419	1950
content-48.jpg	237	149	75.8014	75	61.5989	34	68.6812	1950
content-49.jpg	238	146	88.3801	74	74.0201	18	103.4041	1950
content-5.jpg	239	97	82.9311	87	89.3722	23	80.85	1950
content-50.jpg	240	204	71.5856	115	69.6981	19	72.3425	1950
content-51.jpg	241	14	94.1025	102	94.3505	29	81.5133	1950
content-52.jpg	242	57	92.0999	71	83.9609	149	86.8009	1950
